method,geoid,indicator,anchor_year,target_year,horizon,actual,projected,ci90_low,ci90_high,sample_se,forecast_se,abs_pct_err,in_ci
linear_log,15003,B25058_001E,2019,2021,2,1771.00,1777.28,1689.16,1865.39,35.42,40.18,0.003543,1
linear_log,15003,B25058_001E,2021,2023,2,1853.00,1891.63,1806.38,1976.89,32.47,40.40,0.020850,1
linear_log,15003,B25058_001E,2022,2024,2,1856.00,1911.61,1809.39,2013.84,31.43,53.61,0.029964,1
linear_log,15007,B25058_001E,2015,2017,2,1258.00,1046.35,749.76,1342.93,62.22,169.21,0.168247,1
linear_log,15007,B25058_001E,2016,2018,2,1184.00,1143.83,836.56,1451.11,55.25,178.44,0.033926,1
linear_log,15007,B25058_001E,2017,2019,2,1179.00,1242.03,918.91,1565.16,59.42,187.23,0.053461,1
linear_log,15007,B25058_001E,2019,2021,2,1478.00,1268.20,975.69,1560.72,60.16,167.34,0.141947,1
linear_log,15007,B25058_001E,2021,2023,2,1692.00,1427.33,1044.39,1810.26,126.81,195.22,0.156426,1
linear_log,15007,B25058_001E,2022,2024,2,1691.00,1573.14,1164.85,1981.43,103.46,225.61,0.069696,1
linear_log,15009,B25058_001E,2015,2017,2,1247.00,1238.28,1062.94,1413.63,48.07,95.14,0.006989,1
linear_log,15009,B25058_001E,2016,2018,2,1515.00,1218.80,1065.48,1372.12,31.22,87.82,0.195511,0
linear_log,15009,B25058_001E,2017,2019,2,1506.00,1256.66,1099.03,1414.29,44.72,84.75,0.165566,0
linear_log,15009,B25058_001E,2019,2021,2,1422.00,1512.16,1223.36,1800.97,74.47,158.99,0.063407,1
linear_log,15009,B25058_001E,2021,2023,2,1666.00,1565.76,1257.22,1874.31,99.07,159.27,0.060166,1
linear_log,15009,B25058_001E,2022,2024,2,1802.00,1587.35,1272.39,1902.32,112.71,154.78,0.119116,1
linear_log,15001,B25064_001E,2015,2017,2,1107.00,1184.95,1071.38,1298.52,31.23,61.57,0.070412,1
linear_log,15001,B25064_001E,2016,2018,2,1126.00,1242.00,1114.54,1369.46,50.33,58.91,0.103020,1
linear_log,15001,B25064_001E,2017,2019,2,1215.00,1228.20,1084.76,1371.65,53.96,68.50,0.010867,1
linear_log,15001,B25064_001E,2019,2021,2,1328.00,1266.38,1126.03,1406.73,51.32,68.16,0.046399,1
